optimizer,Tiny,Small,Medium,Large
FewShot,0.9244756099469071,0.6995788621254048,0.895654778431518,0.7377408598934618
KNN,0.94196302834505,0.006611893633426525,0.895654778431518,0.006155802080511647
MIPRO,0.008815858177902034,0.006611893633426525,0.011904761904761904,0.006155802080511647
COPRO,0.1299128344835251,0.7990173208216323,0.895654778431518,0.4506513225290757
BootstrapFewShot,0.008815858177902034,0.006611893633426525,0.15079365079365079,0.006155802080511647
BootstrapWithRandomSearch,0.008815858177902034,0.006611893633426525,0.011904761904761904,0.006155802080511647
